date; Reel PCE value
1.1.1947;1277,44
4.1.1947;1298,692
7.1.1947;1302,925
10.1.1947;1303,34
1.1.1948;1309,834
4.1.1948;1325,075
7.1.1948;1327,031
10.1.1948;1337,622
1.1.1949;1339,787
4.1.1949;1360,322
7.1.1949;1363,407
10.1.1949;1383,396
1.1.1950;1406,429
4.1.1950;1429,591
7.1.1950;1503,003
10.1.1950;1457,694
1.1.1951;1492,942
4.1.1951;1450,753
7.1.1951;1467,654
10.1.1951;1476,205
1.1.1952;1479,625
4.1.1952;1508,601
7.1.1952;1515,837
10.1.1952;1569,313
1.1.1953;1587,743
4.1.1953;1597,302
7.1.1953;1593,497
10.1.1953;1582,812
1.1.1954;1588,65
4.1.1954;1609,28
7.1.1954;1631,059
10.1.1954;1665,291
1.1.1955;1702,656
4.1.1955;1735,274
7.1.1955;1756,707
10.1.1955;1778,767
1.1.1956;1781,657
4.1.1956;1787,583
7.1.1956;1791,625
10.1.1956;1816,324
1.1.1957;1828,956
4.1.1957;1832,145
7.1.1957;1846,623
10.1.1957;1847,391
1.1.1958;1821,834
4.1.1958;1836,897
7.1.1958;1867,373
10.1.1958;1892,738
1.1.1959;1927,43
4.1.1959;1957,197
7.1.1959;1977,643
10.1.1959;1979,871
1.1.1960;1998,811
4.1.1960;2024,025
7.1.1960;2015,934
10.1.1960;2018,545
1.1.1961;2017,795
4.1.1961;2047,823
7.1.1961;2057,782
10.1.1961;2099,173
1.1.1962;2121,409
4.1.1962;2147,489
7.1.1962;2164,796
10.1.1962;2195,427
1.1.1963;2210,805
4.1.1963;2231,667
7.1.1963;2261,942
10.1.1963;2280,79
1.1.1964;2325,554
4.1.1964;2366,691
7.1.1964;2410,408
10.1.1964;2417,288
1.1.1965;2471,196
4.1.1965;2498,45
7.1.1965;2541,38
10.1.1965;2612,826
1.1.1966;2651,397
4.1.1966;2658,191
7.1.1966;2688,546
10.1.1966;2699,747
1.1.1967;2715,303
4.1.1967;2752,426
7.1.1967;2766,518
10.1.1967;2783,447
1.1.1968;2850,153
4.1.1968;2893,553
7.1.1968;2947,784
10.1.1968;2961,081
1.1.1969;2993,913
4.1.1969;3013,227
7.1.1969;3027,918
10.1.1969;3052,118
1.1.1970;3071,056
4.1.1970;3084,968
7.1.1970;3112,014
10.1.1970;3103,565
1.1.1971;3163,139
4.1.1971;3192,21
7.1.1971;3217,661
10.1.1971;3271,05
1.1.1972;3314,222
4.1.1972;3377,314
7.1.1972;3429,362
10.1.1972;3509,838
1.1.1973;3573,918
4.1.1973;3572,307
7.1.1973;3584,881
10.1.1973;3574,188
1.1.1974;3542,211
4.1.1974;3554,966
7.1.1974;3570,236
10.1.1974;3518,05
1.1.1975;3547,557
4.1.1975;3605,909
7.1.1975;3657,158
10.1.1975;3696,485
1.1.1976;3770,391
4.1.1976;3805,081
7.1.1976;3845,144
10.1.1976;3895,034
1.1.1977;3940,944
4.1.1977;3962,314
7.1.1977;3999,779
10.1.1977;4059,918
1.1.1978;4082,726
4.1.1978;4170,01
7.1.1978;4187,52
10.1.1978;4221,31
1.1.1979;4243,173
4.1.1979;4240,419
7.1.1979;4281,682
10.1.1979;4292,335
1.1.1980;4286,2
4.1.1980;4189,671
7.1.1980;4235,629
10.1.1980;4292,856
1.1.1981;4307,237
4.1.1981;4307,55
7.1.1981;4327,476
10.1.1981;4297,875
1.1.1982;4329,533
4.1.1982;4342,721
7.1.1982;4371,833
10.1.1982;4448,414
1.1.1983;4492,395
4.1.1983;4583,873
7.1.1983;4666,07
10.1.1983;4740,427
1.1.1984;4779,767
4.1.1984;4846,731
7.1.1984;4882,676
10.1.1984;4945,926
1.1.1985;5029,959
4.1.1985;5076,136
7.1.1985;5172,55
10.1.1985;5183,741
1.1.1986;5229,041
4.1.1986;5286,019
7.1.1986;5379,527
10.1.1986;5412,515
1.1.1987;5417,904
4.1.1987;5491,837
7.1.1987;5554,512
10.1.1987;5566,263
1.1.1988;5664,593
4.1.1988;5706,414
7.1.1988;5757,12
10.1.1988;5822,579
1.1.1989;5849,592
4.1.1989;5876,896
7.1.1989;5933,79
10.1.1989;5959,58
1.1.1990;6009,735
4.1.1990;6028,041
7.1.1990;6051,922
10.1.1990;6005,882
