date;Pop Totale value
1.1.1952;156522,333
4.1.1952;157142
7.1.1952;157801,333
10.1.1952;158504,667
1.1.1953;159164
4.1.1953;159752,333
7.1.1953;160450,333
10.1.1953;161218
1.1.1954;161908,667
4.1.1954;162568
7.1.1954;163295,333
10.1.1954;164101
1.1.1955;164805
4.1.1955;165469,667
7.1.1955;166198,667
10.1.1955;167016
1.1.1956;167745,333
4.1.1956;168438,667
7.1.1956;169194
10.1.1956;170052,667
1.1.1957;170802
4.1.1957;171504,333
7.1.1957;172259,667
10.1.1957;173061,333
1.1.1958;173741,333
4.1.1958;174404
7.1.1958;175146
10.1.1958;175956,667
1.1.1959;176679
4.1.1959;177367,333
7.1.1959;178102,333
10.1.1959;178910,333
1.1.1960;179590,333
4.1.1960;180224,333
7.1.1960;180951,333
10.1.1960;181788,667
1.1.1961;182516,333
4.1.1961;183220,333
7.1.1961;183964
10.1.1961;184774,333
1.1.1962;185448
4.1.1962;186091,667
7.1.1962;186795,333
10.1.1962;187564,333
1.1.1963;188204,333
4.1.1963;188796
7.1.1963;189499,667
10.1.1963;190255
1.1.1964;190857,667
4.1.1964;191452,667
7.1.1964;192132
10.1.1964;192839
1.1.1965;193385,333
4.1.1965;193894,667
7.1.1965;194530,667
10.1.1965;195188
1.1.1966;195686
4.1.1966;196183
7.1.1966;196768,667
10.1.1966;197392,333
1.1.1967;197888,333
4.1.1967;198368,667
7.1.1967;198912
10.1.1967;199488,667
1.1.1968;199928
4.1.1968;200368,333
7.1.1968;200899,667
10.1.1968;201459
1.1.1969;201888
4.1.1969;202333
7.1.1969;202881,333
10.1.1969;203492,333
1.1.1970;204004,333
4.1.1970;204612,667
7.1.1970;205295,667
10.1.1970;206016,667
1.1.1971;206663
4.1.1971;207262,333
7.1.1971;207885,333
10.1.1971;208546,667
1.1.1972;209063,333
4.1.1972;209552
7.1.1972;210083
10.1.1972;210652
1.1.1973;211119,667
4.1.1973;211581
7.1.1973;212096,667
10.1.1973;212631,333
1.1.1974;213072,333
4.1.1974;213520
7.1.1974;214047,333
10.1.1974;214619,333
1.1.1975;215064,667
4.1.1975;215548
7.1.1975;216187
10.1.1975;216763
1.1.1976;217241,667
4.1.1976;217691,333
7.1.1976;218236
10.1.1976;218828
1.1.1977;219342,333
4.1.1977;219863
7.1.1977;220461,667
10.1.1977;221105,333
1.1.1978;221632,667
4.1.1978;222182
7.1.1978;222814,333
10.1.1978;223472,667
1.1.1979;224051
4.1.1979;224637,667
7.1.1979;225299
10.1.1979;226023,667
1.1.1980;226652
4.1.1980;227278
7.1.1980;227955
10.1.1980;228602,667
1.1.1981;229077,333
4.1.1981;229579,667
7.1.1981;230188,333
10.1.1981;230817,333
1.1.1982;231313,333
4.1.1982;231815,333
