date;Surplus/Deficit Value
6.30.1901;63
6.30.1902;77
6.30.1903;45
6.30.1904;-43
6.30.1905;-23
6.30.1906;25
6.30.1907;87
6.30.1908;-57
6.30.1909;-89
6.30.1910;-18
6.30.1911;11
6.30.1912;3
6.30.1913;0
6.30.1914;0
6.30.1915;-63
6.30.1916;48
6.30.1917;-853
6.30.1918;-9032
6.30.1919;-13363
6.30.1920;291
6.30.1921;509
6.30.1922;736
6.30.1923;713
6.30.1924;963
6.30.1925;717
6.30.1926;865
6.30.1927;1155
6.30.1928;939
6.30.1929;734
6.30.1930;738
6.30.1931;-462
6.30.1932;-2735
6.30.1933;-2602
6.30.1934;-3586
6.30.1935;-2803
6.30.1936;-4304
6.30.1937;-2193
6.30.1938;-89
6.30.1939;-2846
6.30.1940;-2920
6.30.1941;-4941
6.30.1942;-20503
6.30.1943;-54554
6.30.1944;-47557
6.30.1945;-47553
6.30.1946;-15936
6.30.1947;4018
6.30.1948;11796
6.30.1949;580
6.30.1950;-3119
6.30.1951;6102
6.30.1952;-1519
6.30.1953;-6493
6.30.1954;-1154
6.30.1955;-2993
6.30.1956;3947
6.30.1957;3412
6.30.1958;-2769
6.30.1959;-12849
6.30.1960;301
6.30.1961;-3335
6.30.1962;-7146
6.30.1963;-4756
6.30.1964;-5915
6.30.1965;-1411
6.30.1966;-3698
6.30.1967;-8643
6.30.1968;-25161
6.30.1969;3242
6.30.1970;-2842
6.30.1971;-23033
6.30.1972;-23373
6.30.1973;-14908
6.30.1974;-6135
6.30.1975;-53242
6.30.1976;-73732
9.30.1977;-53659
9.30.1978;-59185
9.30.1979;-40726
9.30.1980;-73830
9.30.1981;-78968
9.30.1982;-127977
9.30.1983;-207802
9.30.1984;-185367
9.30.1985;-212308
9.30.1986;-221227
9.30.1987;-149730
9.30.1988;-155178
9.30.1989;-152639
9.30.1990;-221036
9.30.1991;-269238
9.30.1992;-290321
9.30.1993;-255051
9.30.1994;-203186
9.30.1995;-163952
9.30.1996;-107431
9.30.1997;-21884
9.30.1998;69270
9.30.1999;125610
9.30.2000;236241
9.30.2001;128236
9.30.2002;-157758
9.30.2003;-377585
9.30.2004;-412727
9.30.2005;-318346
9.30.2006;-248181
9.30.2007;-160701
9.30.2008;-458553
9.30.2009;-1412688
9.30.2010;-1294373
9.30.2011;-1299599
9.30.2012;-1076573
9.30.2013;-679775
9.30.2014;-484793
9.30.2015;-441960
9.30.2016;-584651
9.30.2017;-665446
9.30.2018;-779137
9.30.2019;-983592
9.30.2020;-3131917
9.30.2021;-2772179
